BEZEICHNUNG;GR01;GR02;GR03;GR04;GR05;GR06;GR07;GR08;GR09;GR10;GR11;GR12;GR13;GR14;GR15;GR16;GR17;GR18;GR19;GR20;GR21;GR22;GR23;GR24;GR25;GR26;GR27;GR28;GR29;GR30;GR31;GR32;GR33;GR34;GR35;GR36;GR37;GR38;GR39;GR40;GR41;GR42;GR43;GR44;GR45;GR46;GR47;GR48;GR49;GR50;GR51;GR52;GR53;GR54;GR55;GR56;GR57;GR58;GR59
Schuhgrößen;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Socken 2er;35-36;37-38;39-40;39-41;41-42;43-44;45-46;47-48;49-50;36-37;38-39;40-41;42-43;44-45;46-47;48-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Socken 3er;36-38;39-41;42-44;45-47;48-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Socken 4+;35-38;39-42;43-46;47-50;40-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hemden;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US-Größen;XXS;XS;S;M;L;XL;XXL;3XL;4XL;5XL;6XL;7XL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Konfektion Herren;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;23;23,5;24;24,5;25;25,5;26;26,5;27;27,5;28;28,5;29;29,5;30;30,5;31;31,5;32;32,5;33;33,5;34;34,5;35;35,5;36;36,5;37;37,5;86;88;90;94;98;102;106;110;114;118;122;126
Konfektion Damen;32;34;36;38;40;42;44;46;48;50;52;16;17;18;19;20;21;22;23;24;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unterwäsche;3;4;5;6;7;8;9;10;11;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strumpfhosen Damen;0;I;II;III;IV;V;VI;I ew;II ew;III ew;IV ew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stützstrümpfe Damen;I N;I L;II N;II L;III N;III L;VI;I ew;II ew;III ew;IV ew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hutgrößen;54;55;56;57;58;59;60;61;62;63;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jeansweiten;25;26;27;28;29;30;31;32;33;34;35;36;38;40;42;44;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jeanslängen;28;30;32;34;36;38;40;STD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Handschuhe;6;6 ¼;6 ½;6 ¾;7;7 ¼;7 ½;7 ¾;8;8 ¼;8 ¼;8 ¾;9;9 ¼;9 ½;9 ¾;10;10 ¼;10 ½;10 ¾;11;11 ¼;11 ½;11 ¾;12;12 ¼;12 ½;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Schuhgrößen;6;6 ½;7;7 ½;8;8 ½;9;9 ½;10;10 ½;11;11 ½;12;12 ½;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gürtellängen;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;One Size;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BH-Größen;65;70;75;80;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
