Bereich;Hauptabteilung;Abteilung;Hauptwarengruppe;Warengruppe;Größenstaffeln
1 Bekleidung;11 Herren;110 HAKA;1100 Anzüge;110010 Anzüge 2-teilig;Konfektion Herren
;;;;110020 Anzüge mehrteilig;Konfektion Herren
;;;;110021 Baukasten-Sakko;Konfektion Herren
;;;;110022 Baukasten-Weste;Konfektion Herren
;;;;110023 Baukasten-Hose;Konfektion Herren
;;;;110030 Smoking;Konfektion Herren
;;;1101 Mäntel;110110 H-Mäntel Pop;Konfektion Herren
;;;;110115 H-Mäntel Wolle;Konfektion Herren
;;;1102 Sakkos;110210 Sakkos;Konfektion Herren
;;;;110220 H-Blazer;Konfektion Herren
;;;;110225 H-Westen;Konfektion Herren, US-Größen
;;;1103 Jacken;110310 H-Jacken;Konfektion Herren, US-Größen
;;;;110320 H-Blousons;Konfektion Herren, US-Größen
;;;;110325 H-Sportswear-Westen;Konfektion Herren, US-Größen
;;;1104 Leder;110410 H-Le-Mäntel;Konfektion Herren, US-Größen
;;;;110415 H-Le-Jacken;Konfektion Herren, US-Größen
;;;;110440 H-Le-Westen;Konfektion Herren, US-Größen
;;;1105 Hosen;110510 H-Kombihosen;Konfektion Herren, US-Größen, Jeansweiten
;;;;110515 H-Freizeithosen;Konfektion Herren, US-Größen
;;;;110520 H-Jeans;Jeansweiten, Konfektion Herren
;;;;110525 H-Bermuda/Shorts;Jeansweiten, Konfektion Herren
;;111 Herren-Artikel;1110 Strickwaren;111010 H-Pullover 1/1 Arm;Konfektion Herren, US-Größen
;;;;111020 H-Pullunder;Konfektion Herren, US-Größen
;;;;111022 H-Strickshirt;Konfektion Herren, US-Größen
;;;;111025 H-Strickjacken;Konfektion Herren, US-Größen
;;;;111030 H-Westen o. Arm;Konfektion Herren, US-Größen
;;;1111 Wirkwaren;111110 H-Sweatshirts;Konfektion Herren, US-Größen
;;;;111115 H-Polos 1/1 Arm;Konfektion Herren, US-Größen
;;;;111120 H-Polos 1/2 Arm;Konfektion Herren, US-Größen
;;;;111125 H-T-Shirt 1/1 Arm;Konfektion Herren, US-Größen
;;;;111130 H-T-Shirt 1/2 Arm;Konfektion Herren, US-Größen
;;;;111155 H-Rolli;Konfektion Herren, US-Größen
;;;;111160 Trainingsanzug;Konfektion Herren, US-Größen
;;;;111165 Trainingsjacke;Konfektion Herren, US-Größen
;;;;111170 Trainingshose;Konfektion Herren, US-Größen
;;;1112 Hemden;111210 Cityhemden 1/1 Arm;Hemden, US-Größen
;;;;111215 Cityhemden 1/2 Arm;Hemden, US-Größen
;;;;111230 Freizeithemden 1/1 Arm;Hemden, US-Größen
;;;;111235 Freizeithemden 1/2 Arm;Hemden, US-Größen
;;;;111240 Festliche Hemden;Hemden, US-Größen
;;;1113 Krawatten;111310 Krawatten;ohne
;;;;111315 Fliege/Schleifen /K-Schals;ohne
;;114 Herren-Accessoires;1140 Hüte/Mützen;114010 H-Hüte;Hutgrößen, ohne
;;;;114015 H-Mützen;Hutgrößen, ohne
;;;;114020 H-Stirnbänder;Hutgrößen, ohne
;;;;114025 H-Kappen;Hutgrößen, ohne
;;;1141 Schals/Tücher;114110 H-Schals;ohne
;;;;114115 H-Taschentücher;ohne
;;;1142 Handschuhe;114210 H-Handschuhe;Handschuhe
;;;1143 Gürtel;114310 Gürtel;Gürtellängen
;;;1144 Nadel/Spangen/Hosenträger;114410 Nadel/Spangen/M-Knöpfe;ohne
;;;;114415 Hosenträger;ohne
;12 Damen;120 DOB I;1200 Kleider;120010 Kleider 1-tlg. lang;Konfektion Damen, US-Größen
;;;;120015 Kleider 1-tlg. kurz;Konfektion Damen, US-Größen
;;;;120020 Kleider mehrtlg. lang;Konfektion Damen, US-Größen
;;;;120025 Kleider mehrtlg. kurz;Konfektion Damen, US-Größen
;;;;120030 Kleiderjacken;Konfektion Damen, US-Größen
;;;1201 Kostüme;120110 Kostüme;Konfektion Damen, US-Größen
;;;1202 Hosenanzüge;120210 Hosenanzüge;Konfektion Damen, US-Größen
;;;1203 Mäntel;120310 D-Mäntel Pop;Konfektion Damen, US-Größen
;;;;120315 D-Mäntel Wolle;Konfektion Damen, US-Größen
;;;1204 Blazer;120410 D-Blazer;Konfektion Damen, US-Größen
;;;;120415 D-Westen;Konfektion Damen, US-Größen
;;;1205 Jacken;120510 D-Jacken Pop;Konfektion Damen, US-Größen
;;;;120515 D-Jacken Wolle;Konfektion Damen, US-Größen
;;;;120520 D-Blouson;Konfektion Damen, US-Größen
;;;;120525 D-Sportswear-Westen;Konfektion Damen, US-Größen
;;;1206 Leder;120615 D-Le-Jacken;Konfektion Damen, US-Größen
;;121 DOB II Chosen;1210 Strickwaren;121010 D-Pullover lang Arm;Konfektion Damen, US-Größen
;;;;121015 D-Pullover kurz Arm;Konfektion Damen, US-Größen
;;;;121020 D-Pullunder ;Konfektion Damen, US-Größen
;;;;121022 D-Strickshirt;Konfektion Damen, US-Größen
;;;;121025 D-Strickjacken;Konfektion Damen, US-Größen
;;;;121027 D-Poncho;Konfektion Damen, US-Größen
;;;;121030 D-Westen o. Arm;Konfektion Damen, US-Größen
;;;;121035 Röcke;Konfektion Damen, US-Größen
;;;;121040 D-Hosen/Leggings;Konfektion Damen, US-Größen
;;;;121045 D-Unterzieh-Pullis;Konfektion Damen, US-Größen
;;;;121050 Kleider Strick;Konfektion Damen, US-Größen
;;;;121055 Twinset Strick;Konfektion Damen, US-Größen
;;;1211 Wirkwaren;121110 D-Sweatshirt;Konfektion Damen, US-Größen
;;;;121115 D-Polos 1/1 Arm;Konfektion Damen, US-Größen
;;;;121120 D-Polos 1/2 Arm;Konfektion Damen, US-Größen
;;;;121125 D-T-Shirt 1/1 Arm;Konfektion Damen, US-Größen
;;;;121130 D-T-Shirts 1/2 Arm;Konfektion Damen, US-Größen
;;;;121135 D-Shirt o. Arm;Konfektion Damen, US-Größen
;;;;121140 Top;Konfektion Damen, US-Größen
;;;;121150 D-Rollis;Konfektion Damen, US-Größen
;;;;121165 D-Hosen/Leggings;Konfektion Damen, US-Größen
;;;1212 Blusen;121220 Blusen 1/1 Arm;Konfektion Damen, US-Größen
;;;;121225 Blusen 1/2 Arm;Konfektion Damen, US-Größen
;;;;121230 Blusen o. Arm;Konfektion Damen, US-Größen
;;;;121235 Tops;Konfektion Damen, US-Größen
;;;;121240 Blusen - Blazer;Konfektion Damen, US-Größen
;;;;121245 D-Westen;Konfektion Damen, US-Größen
